gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849888532255523372e+06,4.656218354724191129e+06,3.287197921902485192e+06,5.042668123863090379e+00,1.466431953870664107e-01,8.535045982121606048e-03
-2.849889258335501421e+06,4.656212297701975331e+06,3.287185936062042601e+06,4.992395796628612992e+00,1.712266625705953782e-01,-5.090823409920619547e-02
-2.849890883573263418e+06,4.656217147547179833e+06,3.287200842511912808e+06,5.016346391459181930e+00,1.206109909951144782e-01,-3.027749834779752333e-02
-2.849885546684010420e+06,4.656210911271332763e+06,3.287192645616598427e+06,4.994753463964337392e+00,1.568298571619857751e-01,3.788058641035252361e-02
-2.849885118404961657e+06,4.656219428687463515e+06,3.287190416510812938e+06,5.012255429228780201e+00,1.047825906720691869e-01,-1.583368365937327243e-02
-2.849889321674515028e+06,4.656212302645236254e+06,3.287186472015827894e+06,5.031225510082651731e+00,1.254468860572053313e-01,-5.414054822431046271e-02
-2.849888913465483580e+06,4.656209895018449984e+06,3.287198367313248105e+06,4.949051822881076035e+00,1.334479901567331706e-01,-4.753147238859466855e-02
-2.849892104611420538e+06,4.656216919662709348e+06,3.287190599067379255e+06,5.003203294342652541e+00,1.306486118490211012e-01,1.915448462837816140e-02
-2.849884022649851628e+06,4.656218354797348380e+06,3.287194821421514265e+06,5.006125865593248569e+00,1.914324685754411615e-01,-4.798562575885162440e-02
-2.849886426255105063e+06,4.656207629609764554e+06,3.287195608742126729e+06,5.096689181858800488e+00,3.116242634278678092e-01,-2.991052407091614532e-02
-2.849886881757536903e+06,4.656209417395660654e+06,3.287198933415051550e+06,5.084215627199506038e+00,1.221373021704039441e-01,-1.660757659476205517e-01
-2.849887871999145485e+06,4.656218436084540561e+06,3.287196103116068989e+06,5.046686511783692097e+00,2.123005389759004269e-01,-2.556942404765525506e-02
-2.849882515681019053e+06,4.656215677013913170e+06,3.287192631089318544e+06,5.031435271977360735e+00,2.316070038696455002e-01,-8.948635441063773621e-02
-2.849877690956756938e+06,4.656208523313976824e+06,3.287177625184359960e+06,5.016505984022071374e+00,2.298259967717564967e-01,9.750258803184032319e-02
-2.849878751943488140e+06,4.656213628125580959e+06,3.287182729717981536e+06,4.957658480328884565e+00,2.406559504151921658e-01,3.891809929213853325e-02
-2.849888862202533521e+06,4.656209622878183611e+06,3.287184985405017156e+06,4.944409758617764439e+00,1.731821010674717831e-01,2.549108561055200145e-02
